date,margin_debt,cash_credit,margin_credit,net_margin,margin_chg,sp_ret
1997-01-01,103337,68856,,34481.0,,
1997-02-01,103886,67058,,36828.0,0.00531271471012329,0.061317039054128886
1997-03-01,104835,69553,,35282.0,0.009135013380051182,0.0059275902346540565
1997-04-01,102842,64825,,38017.0,-0.019010826536938974,-0.04261401064074877
1997-05-01,111097,66879,,44218.0,0.08026876178993025,0.05840557906734034
1997-06-01,118843,72422,,46421.0,0.06972285480255991,0.05857688480332501
1997-07-01,121090,73714,,47376.0,0.018907297863567818,0.043452614795275846
1997-08-01,124404,71211,,53193.0,0.027368073333883913,0.07814580943742477
1997-09-01,131962,73087,,58875.0,0.06075367351532113,-0.057465631708528364
1997-10-01,134491,80287,,54204.0,0.01916460799321018,0.053153590615567126
1997-11-01,132741,77259,,55482.0,-0.01301202310935301,-0.03447769737522033
1997-12-01,131560,88590,,42970.0,-0.008897025033712258,0.04458685521263939
1998-01-01,132912,83362,,49550.0,0.010276679841897174,0.01573159710869443
1998-02-01,141328,81932,,59396.0,0.06332009148910567,0.010150177442407982
1998-03-01,146536,85580,,60956.0,0.0368504471866864,0.07044919253631243
1998-04-01,146589,85771,,60818.0,0.0003616858655892674,0.049945714341220526
1998-05-01,150293,80174,,70119.0,0.025267925969888694,0.009076469253460395
1998-06-01,154357,87891,,66466.0,0.027040514195604493,-0.018826223261468433
1998-07-01,160980,92687,,68293.0,0.042907027216128935,0.03943824063504042
1998-08-01,155879,100093,,55786.0,-0.031687166107591036,-0.011615326917385427
1998-09-01,144541,103879,,40662.0,-0.07273590413076814,-0.14579671825011387
1998-10-01,138399,108179,,30220.0,-0.04249313343618766,0.06239551504341101
1998-11-01,148697,108032,,40665.0,0.07440805208130108,0.08029422856762891
1998-12-01,148674,111507,,37167.0,-0.00015467696053050872,0.05912599628568138
1999-01-01,162322,107200,,55122.0,0.09179816242248151,0.056375287084956094
1999-02-01,162909,109523,,53386.0,0.0036162688976233426,0.04100944085374847
1999-03-01,166212,109941,,56271.0,0.020275122921385558,-0.032282562377591306
1999-04-01,184329,112290,,72039.0,0.10899935022742047,0.0387942154089167
1999-05-01,189950,114271,,75679.0,0.03049438775233404,0.03794402759627746
1999-06-01,187695,116982,,70713.0,-0.011871545143458784,-0.024970480796175143
1999-07-01,189503,115017,,74486.0,0.009632648712006198,0.054438331114324834
1999-08-01,187616,117149,,70467.0,-0.00995762600064376,-0.032046092391091685
1999-09-01,189741,121207,,68534.0,0.011326326112911511,-0.006254091687235008
1999-10-01,194259,123457,,70802.0,0.02381140607459642,-0.028551792448024638
1999-11-01,218304,131786,,86518.0,0.12377804889348765,0.0625395414523846
1999-12-01,241967,146582,,95385.0,0.10839471562591618,0.019061858969220413
2000-01-01,260409,148567,,111842.0,0.07621700479817495,0.05784389473992291
2000-02-01,284206,153540,,130666.0,0.09138317032053433,-0.05090354879190062
2000-03-01,299933,168002,,131931.0,0.05533662202768408,-0.020108083256356934
2000-04-01,268716,156868,,111848.0,-0.10407991118016358,0.09671982835364812
2000-05-01,256862,153843,,103019.0,-0.04411348784590419,-0.030795755780191336
2000-06-01,264471,153050,,111421.0,0.02962291035653375,-0.021915050603417807
2000-07-01,263729,163050,,100679.0,-0.002805600614055992,0.023933549615877237
2000-08-01,265166,156775,,108391.0,0.005448775068346734,-0.016341275904170893
2000-09-01,270208,160964,,109244.0,0.019014504121946274,0.06069910494167097
2000-10-01,250965,172738,,78227.0,-0.07121550805305543,-0.053482974719764265
2000-11-01,237913,186459,,51454.0,-0.05200725200725198,-0.00494948542177065
2000-12-01,210385,198179,,12206.0,-0.1157061614960091,-0.08006861010730892
2001-01-01,208687,187225,,21462.0,-0.008070917603441363,0.004053445623728669
2001-02-01,198887,193266,,5621.0,-0.04696028022828447,0.03463657667616449
2001-03-01,174797,198581,,-23784.0,-0.12112405536812365,-0.09229073539585964
2001-04-01,176096,191145,,-15049.0,0.0074314776569393,-0.06420471080339152
2001-05-01,183041,183493,,-452.0,0.03943871524622944,0.07681436165439459
2001-06-01,179585,187602,,-8017.0,-0.018881015728716477,0.005090187401275648
2001-07-01,173680,185100,,-11420.0,-0.032881365370158955,-0.02503538942756467
2001-08-01,169316,191219,,-21903.0,-0.02512666973744815,-0.010740149595403703
2001-09-01,157931,211281,,-53350.0,-0.06724113491932249,-0.06410840688075747
2001-10-01,152367,187012,,-34645.0,-0.0352305753778549,-0.08172340570563885
2001-11-01,159440,188441,,-29001.0,0.046420812905681785,0.018099111333141016
2001-12-01,160473,197424,,-36951.0,0.006478926241846539,0.0751759041240454
2002-01-01,160906,189841,,-28935.0,0.0026982732297644585,0.0075738340889277556
2002-02-01,154931,186919,,-31988.0,-0.037133481660099665,-0.015573832456979853
2002-03-01,160089,180578,,-20489.0,0.03329223977125295,-0.020766211039727644
2002-04-01,159072,175730,,-16658.0,-0.006352716301557204,0.03673889286207466
2002-05-01,157802,173395,,-15593.0,-0.00798380607523641,-0.061417625919219065
2002-06-01,153972,178744,,-24772.0,-0.02427092178806356,-0.009081481352177012
2002-07-01,143905,183326,,-39421.0,-0.06538201750967709,-0.0724553538081798
2002-08-01,139146,174995,,-35849.0,-0.03307042840763008,-0.07900427514940767
2002-09-01,136107,180997,,-44890.0,-0.021840369108706015,0.004881433306494376
2002-10-01,138647,181069,,-42422.0,0.018661788151968617,-0.11002431825242787
2002-11-01,139472,176062,,-36590.0,0.005950363152466442,0.08644880033371405
2002-12-01,139451,184715,,-45264.0,-0.00015056785591371913,0.05706962070498589
2003-01-01,141391,179528,,-38137.0,0.013911696581595079,-0.06033257188502883
2003-02-01,140516,179925,,-39409.0,-0.006188512705900706,-0.02741469268304464
2003-03-01,144267,176955,,-32688.0,0.026694468957271678,-0.01700360825687175
2003-04-01,143237,168756,,-25519.0,-0.007139539880915202,0.008357567684332823
2003-05-01,153725,178946,,-25221.0,0.07322130455119846,0.0810441071800323
2003-06-01,168281,190026,,-21745.0,0.09468856724670682,0.050898709609522585
2003-07-01,174427,199973,,-25546.0,0.036522245529798436,0.011322214676852127
2003-08-01,167200,188112,,-20912.0,-0.04143280570095231,0.016223701958536507
2003-09-01,171194,189826,,-18632.0,0.023887559808612346,0.017873203593487874
2003-10-01,175428,191554,,-16126.0,0.024732175193055816,-0.011944364585525724
2003-11-01,182587,184899,,-2312.0,0.040808764849396884,0.05496148663571665
2003-12-01,181459,199297,,-17838.0,-0.006177876847749286,0.0071285040713728876
2004-01-01,189429,198628,,-9199.0,0.04392176745160059,0.05076554077889206
2004-02-01,190448,200323,,-9875.0,0.005379324179507927,0.017276386950755285
2004-03-01,191451,203953,,-12502.0,0.005266529446358081,0.01220897373761054
2004-04-01,198778,217992,,-19214.0,0.03827088915701671,-0.01635891961786684
2004-05-01,193843,219640,,-25797.0,-0.02482669108251412,-0.016790751960348183
2004-06-01,193993,220781,,-26788.0,0.0007738221137725265,0.01208345009735412
2004-07-01,187844,220196,,-32352.0,-0.031697019995566844,0.017988998771432563
2004-08-01,187828,217945,,-30117.0,-8.517706181720985e-05,-0.034290519520026264
2004-09-01,193668,220860,,-27192.0,0.031092275912004697,0.0022873503233691306
2004-10-01,197999,218090,,-20091.0,0.02236301299130461,0.009363875526838816
2004-11-01,211012,223928,,-12916.0,0.06572255415431383,0.014014243690939843
2004-12-01,217573,238192,,-20619.0,0.03109301840653611,0.03859493629597055
2005-01-01,220122,230624,,-10502.0,0.01171560809475447,0.03245821284320516
2005-02-01,223155,224392,,-1237.0,0.013778722708316371,-0.025290467442294018
2005-03-01,226876,234533,,-7657.0,0.01667450874952392,0.018903346132113308
2005-04-01,217447,223839,,-6392.0,-0.041560147393289726,-0.01911765556028966
2005-05-01,219404,224933,,-5529.0,0.008999894227099015,-0.020108582083263493
2005-06-01,224153,234352,,-10199.0,0.021645001914276873,0.02995204663120865
2005-07-01,233585,224242,,9343.0,0.04207840180590927,-0.00014271417986777557
2005-08-01,231400,225410,,5990.0,-0.009354196545154903,0.03596828690361842
2005-09-01,244669,238929,,5740.0,0.057342264477096005,-0.011222104598600069
2005-10-01,239868,243174,,-3306.0,-0.019622428668936376,0.00694902431673361
2005-11-01,242904,241695,,1209.0,0.012656961328730842,-0.01774077993231349
2005-12-01,244098,263205,,-19107.0,0.004915522181602627,0.035186096519093324
2006-01-01,255795,255819,,-24.0,0.04791927832264098,-0.0009523493171964548
2006-02-01,249609,257573,,-7964.0,-0.02418342813581187,0.025466771341108085
2006-03-01,259370,258928,,442.0,0.039105160470976674,0.0004531577283561905
2006-04-01,265164,259342,,5822.0,0.022338743879400047,0.011095810408889628
2006-05-01,255608,264307,,-8699.0,-0.03603807455008978,0.01215565291784415
2006-06-01,251495,280275,,-28780.0,-0.016091045663672476,-0.030916916538203165
2006-07-01,256016,269376,,-13360.0,0.017976500526849515,8.659650459597046e-05
2006-08-01,249368,269423,,-20055.0,-0.025967127054559058,0.0050858788034533475
