year,quarter,tone_mean,tone_std,tone_median,goldstein_mean,event_count,total_articles,quarter_label
1990,1,5.545027495,2.372256917,5.665024631,4.581566926,4378,17789,1990Q1
1990,2,5.486596996,2.528736912,5.459770115,4.567745369,4697,19730,1990Q2
1990,3,5.335899787,2.276974727,5.365126677,4.703842584,5387,21871,1990Q3
1990,4,5.507871294,2.295007592,5.571847507,4.634036084,4933,19983,1990Q4
1991,1,5.21611528,2.329416145,5.291005291,4.642216206,5171,23923,1991Q1
1991,2,5.859712825,2.379238722,5.887939221,4.70661799,6437,32047,1991Q2
1991,3,6.028703546,2.379208,6.065088757,4.594734571,6951,32410,1991Q3
1991,4,5.954117892,2.377797841,5.943152455,4.590405388,7869,36987,1991Q4
1992,1,5.569496333,2.53630361,5.656108597,4.5976339,4649,20356,1992Q1
1992,2,5.58019479,2.546727208,5.542865844,4.659462784,4877,20909,1992Q2
1992,3,5.42045867,2.672095092,5.330243337,4.730668258,3352,15336,1992Q3
1992,4,5.782674916,2.633909047,5.723370429,4.720700795,4024,17114,1992Q4
1993,1,5.637300045,2.519646272,5.555555556,4.622810876,5002,21259,1993Q1
1993,2,5.856973955,2.447856722,5.853658537,4.589578074,5546,23966,1993Q2
1993,3,5.812924395,2.377515365,5.769230769,4.561054832,6219,26551,1993Q3
1993,4,5.989215118,2.510857415,5.948372615,4.707676736,6422,28060,1993Q4
1994,1,6.021278452,2.264099458,5.927051672,4.57441677,8873,37185,1994Q1
1994,2,5.822535226,2.415709447,5.691056911,4.620235444,6286,25425,1994Q2
1994,3,5.777088694,2.418859819,5.769230769,4.518158849,9103,36260,1994Q3
1994,4,5.83521514,2.363633242,5.813953488,4.561187889,9479,39339,1994Q4
1995,1,5.561805538,2.435446686,5.480769231,4.527719548,9827,38691,1995Q1
1995,2,5.835644174,2.127410333,5.817174515,4.542857143,8197,30105,1995Q2
1995,3,5.936920262,2.027057611,5.797101449,4.529053808,8233,29494,1995Q3
1995,4,6.265623865,2.108282135,6.209573092,4.584590733,7489,27321,1995Q4
1996,1,5.78115845,2.068028761,5.769230769,4.57529315,9722,38285,1996Q1
1996,2,5.858079394,2.144383626,5.794947994,4.605559984,10036,40663,1996Q2
1996,3,6.040703162,2.288176049,5.945945946,4.505894044,16101,69688,1996Q3
1996,4,6.171592213,2.293919804,6.029411765,4.551943662,14200,61059,1996Q4
1997,1,5.980692544,2.341853265,5.910447761,4.501570188,13820,58431,1997Q1
1997,2,6.19738917,2.329247277,6.146572104,4.512065295,15499,65259,1997Q2
1997,3,6.018095774,2.264974473,5.99078341,4.463268488,14753,62701,1997Q3
1997,4,6.096292929,2.343332582,5.973025048,4.526183134,16862,71733,1997Q4
1998,1,6.117298621,2.263559063,6.060606061,4.461820424,20270,97581,1998Q1
1998,2,5.991524377,2.230541214,5.898491084,4.470207088,18736,89004,1998Q2
1998,3,5.812443131,2.203604216,5.731394354,4.51658021,15422,73700,1998Q3
1998,4,5.856994413,2.196677222,5.743243243,4.482251151,18897,93476,1998Q4
1999,1,5.978853879,2.033842449,5.873261206,4.498566054,18341,91694,1999Q1
1999,2,6.027506252,2.048307967,5.936073059,4.484612188,19249,93832,1999Q2
1999,3,6.152598143,2.071912341,6.005221932,4.534202178,18914,88548,1999Q3
1999,4,6.197390234,2.080552305,6.079027356,4.520555185,17976,83640,1999Q4
2000,1,6.073069944,2.066382953,5.934718101,4.470367997,18723,79362,2000Q1
2000,2,5.991152943,2.098521064,5.853658537,4.509783677,16272,86653,2000Q2
2000,3,6.178836362,2.127542029,6.002791996,4.559270667,18181,77329,2000Q3
2000,4,6.077856449,2.166860203,5.893909627,4.537835812,16006,66601,2000Q4
2001,1,6.159288472,2.105763771,6.020859863,4.532575758,19536,85899,2001Q1
2001,2,5.9507731,2.056945181,5.842487583,4.552046424,22747,106670,2001Q2
2001,3,6.041673559,2.137319584,5.85380096,4.547279763,21965,100409,2001Q3
2001,4,5.975960794,2.126729489,5.844155844,4.599396976,22553,99525,2001Q4
2002,1,5.948817398,2.12253007,5.755377036,4.662520609,20622,86909,2002Q1
2002,2,6.043519061,2.26659584,5.849276243,4.580005125,15609,64013,2002Q2
2002,3,5.940526713,2.123886305,5.759162304,4.581621508,19044,80544,2002Q3
2002,4,6.097186299,2.224742141,5.989110708,4.639559114,18236,76617,2002Q4
2003,1,5.972314052,2.044413567,5.817425782,4.668395276,25319,128016,2003Q1
2003,2,6.008171354,2.063521216,5.882352941,4.572023964,27041,137506,2003Q2
2003,3,5.980125861,2.088665478,5.855855856,4.611689445,24073,109227,2003Q3
2003,4,6.070824086,2.101313814,5.945419103,4.690915379,21685,98100,2003Q4
2004,1,5.987635379,2.104853898,5.853658537,4.699205904,21408,93813,2004Q1
2004,2,5.988465821,2.145492449,5.840707965,4.626882503,21992,96036,2004Q2
2004,3,5.749743677,2.248116995,5.573770492,4.70696537,12677,52271,2004Q3
2004,4,6.020413666,2.173931283,5.90296496,4.70088102,11691,47285,2004Q4
2005,1,6.024834713,2.198041601,5.951506245,4.696781555,12708,53213,2005Q1
2005,2,6.046719274,2.288500816,5.938697318,4.668941356,13130,56556,2005Q2
2005,3,6.083478079,2.36002042,5.915332176,4.656578845,12867,56932,2005Q3
2005,4,5.969577317,2.293872158,5.929919137,4.691078129,11993,50260,2005Q4
2006,1,5.890546511,2.238571019,5.649893051,4.657618754,21073,58088,2006Q1
2006,2,6.172909425,2.430679466,5.924831151,4.656310825,33395,129889,2006Q2
2006,3,6.254785326,2.685208607,5.85106383,4.665954014,47101,268399,2006Q3
2006,4,6.473511695,2.642619076,6.060606061,4.640637993,41129,254351,2006Q4
2007,1,6.342765484,2.395065523,6.093189964,4.662216432,58716,351813,2007Q1
2007,2,5.905851766,2.234057556,5.681818182,4.678070114,85860,441959,2007Q2
2007,3,5.957290701,2.198623028,5.745124757,4.711151579,68367,343553,2007Q3
2007,4,6.21337349,2.358444829,5.906313646,4.815052844,87711,474410,2007Q4
2008,1,6.123309449,2.314737002,5.870445344,4.804586154,110790,645334,2008Q1
2008,2,6.052832408,2.156865833,5.866666667,4.772278845,112048,680458,2008Q2
2008,3,5.867291987,2.153218512,5.663430421,4.79257668,105667,605901,2008Q3
2008,4,5.82782075,2.218858524,5.637254902,4.909413665,112666,784982,2008Q4
2009,1,5.944889004,2.355477002,5.752212389,4.7805416,157644,1145178,2009Q1
2009,2,5.997200798,2.321599681,5.769230769,4.756747051,180716,1245977,2009Q2
2009,3,6.023878516,2.316654905,5.800052581,4.743315442,201210,1533979,2009Q3
2009,4,6.02780843,2.422113603,5.765346821,4.772922291,205202,1630995,2009Q4
2010,1,5.969473299,2.334363793,5.730994152,4.778616568,160138,1171606,2010Q1
2010,2,5.979940265,2.428872598,5.710306407,4.718811619,113196,716367,2010Q2
2010,3,6.08631916,2.538192627,5.793742758,4.721918273,300416,2626366,2010Q3
2010,4,6.159203976,2.57159064,5.873605948,4.699590682,308562,2687817,2010Q4
2011,1,6.114013945,2.624398649,5.80952381,4.643088609,338340,3103574,2011Q1
2011,2,6.140837952,2.608569749,5.835398399,4.635139694,325498,2963984,2011Q2
2011,3,6.039716368,2.570717161,5.769230769,4.655657593,345297,3313303,2011Q3
2011,4,6.124973873,2.574137564,5.858310627,4.688295865,228415,1898612,2011Q4
2012,1,5.975619532,2.532918512,5.710102489,4.670902615,383818,3444638,2012Q1
2012,2,6.084853193,2.612197941,5.813953488,4.682006368,381924,3585470,2012Q2
2012,3,6.406282077,2.735744201,6.12880529,4.706376344,351769,3418602,2012Q3
2012,4,4.128767889,2.737237976,3.464566929,4.727026717,348803,3148911,2012Q4
2013,1,2.738260243,1.600675006,2.51396648,4.68984172,360563,3109680,2013Q1
2013,2,2.605724634,1.433132143,2.433333333,4.824256551,160233,1231732,2013Q2
2013,3,2.667231941,1.53052027,2.448979592,4.71443536,498034,4094464,2013Q3
2013,4,2.787804248,1.558737018,2.577319588,4.693890267,465765,4025468,2013Q4
2014,1,2.713650603,1.560832225,2.522798613,4.697761527,414479,3919152,2014Q1
2014,2,2.728145523,1.59928351,2.526315789,4.700466699,460682,4155065,2014Q2
2014,3,2.622036751,1.600918929,2.433786686,4.718050154,502727,4476179,2014Q3
2014,4,2.74329663,1.669711244,2.545454545,4.686334321,513381,4647652,2014Q4
2015,1,1.128164733,3.029833008,1.666666667,4.642142933,557899,5954811,2015Q1
2015,2,-0.269919836,3.321125338,0,4.65423922,576474,7799610,2015Q2
2015,3,-0.337144606,3.245098264,0,4.638958304,701740,9472666,2015Q3
2015,4,-0.406612939,3.376960068,-0.031797385,4.688522471,614357,7484871,2015Q4
2016,1,-0.440142102,3.278577416,-0.154218991,4.654844133,666084,8344769,2016Q1
2016,2,-0.276700553,3.241606374,0,4.64209519,707993,9514907,2016Q2
2016,3,-0.442392967,3.299103273,-0.124843945,4.673264349,677930,9157042,2016Q3
2016,4,-0.314664982,3.210816436,0,4.676593208,655156,8221519,2016Q4
2017,1,-0.384570911,3.158590951,-0.15667258,4.670488652,719879,9537723,2017Q1
2017,2,-0.338997955,3.275080098,-0.049219259,4.664628331,634194,7994638,2017Q2
2017,3,-0.586614749,3.28818523,-0.350098319,4.682678029,565005,7070238,2017Q3
2017,4,-0.452648142,3.354821423,-0.178571429,4.697191926,554437,7031534,2017Q4
2018,1,-0.420891357,3.264417744,-0.186219739,4.684355779,596348,7612818,2018Q1
