fold,strategy,a0,a1,b0,b1,ann_ret,vol,sharpe_ex,sharpe_abs,sortino,calmar,mdd,final_pp,min_pp,died_step,mean_ws,mean_wb,mean_total
W1,Evolved-4D,2.4415361153451594,-0.1588494125134609,1.2437954369991622,0.26352619668783533,34.95493297318224,21.57226336530245,1.5092549959947328,1.5119549354214223,1.780033870676477,1.706302502436789,-20.48577724246593,4.366110828273398,1.0,-1.0,1.9661016949152543,0.01694915254237288,1.9830508474576272
W1,Evolved-2D,2.004230882757593,0.0,2.089177115901791,0.0,30.76771368696205,22.856740846938205,1.2967026841766904,1.2992438676011484,1.4115861291311556,0.9645262996997058,-31.8992998910877,3.7393341510868843,1.0,-1.0,2.0,0.0,2.0
W1,Kahneman,1.0,0.0,2.25,0.0,0.06035492815279486,0.012200839344271443,0.0,4.945478040342678,17418.364053516347,0.0,0.0,1.0029709600731334,1.0,-1.0,0.0,1.0,1.0
W1,Symmetric,1.0,0.0,1.0,0.0,30.76771368696205,22.856740846938205,1.2967026841766904,1.2992438676011484,1.4115861291311556,0.9645262996997058,-31.8992998910877,3.7393341510868843,1.0,-1.0,2.0,0.0,2.0
W1,B&H,,,,,15.197804197348287,11.429243439655457,1.2967026841766904,1.3017843008986176,1.4152359527003053,0.8925398504951852,-17.027591752812466,2.0049366510041624,,,,,
W1,50/50,,,,,7.556676458273004,5.715499519451392,1.2967026841766904,1.306862909628654,1.4225454985538952,0.8598798421083096,-8.788060945521238,1.430706076368945,,,,,
W2,Evolved-4D,1.8743291415011776,-0.5218011276371505,2.1429241807477,-0.03597746858673076,5.255611490961276,24.499832591319006,0.29299020789213137,0.3397520870757763,0.217148304917431,0.1379804852045642,-38.0895275384017,1.2863896042806007,0.9470893374399972,1.0,1.4915254237288136,0.2542372881355932,1.7457627118644068
W2,Evolved-2D,1.7945564611119613,0.0,2.2259853138013286,0.0,2.3895060022403714,21.872515216341732,0.17381140932278846,0.22601420222343704,0.1412750046826756,0.061856877037820904,-38.629593291290234,1.1231108366922524,0.8215956081367609,1.0,1.5127118644067796,0.2330508474576271,1.7457627118644068
W2,Kahneman,1.0,0.0,2.25,0.0,1.145185036762264,0.23407615239731916,0.0,4.868037661049365,197.3657216827977,687.1110220605898,-0.0016666666666588286,1.0575817919395984,1.0,-1.0,0.0,1.0,1.0
W2,Symmetric,1.0,0.0,1.0,0.0,18.736994971511358,29.138288125990325,0.7037524438903383,0.7437605904569892,0.5908763857270425,0.49191985783023434,-38.0895275384017,2.3265627099983166,0.9470893374399972,1.0,2.0,0.0,2.0
W2,B&H,,,,,10.839587534643336,14.551392011564246,0.7037524438903383,0.7838219837932855,0.6272346432436289,0.5419509139453516,-20.0010503824639,1.6586315793187463,,,,,
W2,50/50,,,,,6.176314490524071,7.259326732447624,0.7037524438903383,0.8640741036498213,0.6807900296405686,0.6108554539207497,-10.110926326157292,1.3426699257866141,,,,,
W3,Evolved-4D,2.025588590401153,-0.5709717723714549,2.298102181220506,0.22658336598248982,23.650593712069544,27.596871191527057,0.8086069600470889,0.9135437497778137,0.7815149264454655,0.8637514757937897,-27.381248397097774,2.839867075885993,0.921444059643154,1.0,1.4364406779661016,0.2754237288135593,1.7118644067796611
W3,Evolved-2D,1.7581972186721078,0.0,2.1227611256969436,0.0,10.884056487269644,13.721032218014601,0.6054141950411582,0.8240158641840762,0.4900397464895223,0.6738755132085217,-16.151434907387294,1.6619059203694304,0.921444059643154,1.0,0.6059322033898306,0.6822033898305084,1.2881355932203389
W3,Kahneman,1.0,0.0,2.25,0.0,2.966341937522343,0.641440620117882,0.0,4.565993277419425,845475.6484403904,0.0,0.0,1.1545652428957205,1.0,-1.0,0.0,1.0,1.0
W3,Symmetric,1.0,0.0,1.0,0.0,20.508194589398208,31.82569478947116,0.6595229904418589,0.7507470612774663,0.7475778423392203,0.4431990683591514,-46.2730995020485,2.502254728500906,0.8703900026005853,1.0,2.0,0.0,2.0
W3,B&H,,,,,12.839867860643771,15.938644360499815,0.659522990441859,0.8414097143074072,0.8360887371916925,0.5183736584307919,-24.769522239058805,1.8110938832846164,,,,,
W3,50/50,,,,,8.138663811378134,8.004700132404992,0.6595229904418591,1.0206343452511244,1.056115506235587,0.6538097703596062,-12.448060858591536,1.469174037755416,,,,,
