epoch,train_step,val_step,nll_window,nll_step_channel,z_mean,z_std,ks_stat,ks_p,logdet_mean,logdet_std,elapsed_s
1,61.596569027849625,4.400196213942308,457.62040625,4.400196213942308,-1.7347253561019897,2.464756488800049,0.390047126640742,0.0,-213.34532165527344,63.64150619506836,3.4633138179779053
2,-0.020163674639840413,-0.9310284705528846,-96.8269609375,-0.9310284705528846,-0.0662483498454094,0.689320981502533,0.12581723180441673,7.7036168164544495e-180,-429.1443176269531,35.74285125732422,6.650876760482788
3,-0.4938642953131656,0.12911382587139422,13.427837890625,0.12911382587139422,-1.320680022239685,0.9262059330940247,0.5075930545938373,0.0,-433.0102844238281,25.16583251953125,9.620044708251953
4,-0.7904379651825832,-0.6288147911658654,-65.39673828125,-0.6288147911658654,-1.132846474647522,0.56425541639328,0.5528407204929499,0.0,-488.699951171875,24.72786521911621,12.655766725540161
5,0.315787233548493,-1.3715502554086538,-142.6412265625,-1.3715502554086538,0.4462634325027466,0.5069248676300049,0.34536662436747034,0.0,-528.0338134765625,9.834599494934082,15.695197820663452
6,-1.0167339076911244,-1.2692364032451924,-132.0005859375,-1.2692364032451924,0.2162092626094818,1.4759376049041748,0.14966345699352812,1.158854220209162e-254,-693.9976806640625,27.75930404663086,18.922958850860596
7,-0.15943771505928472,-0.877435321514423,-91.2532734375,-0.877435321514423,-1.1197799444198608,0.7486990690231323,0.5075318727622967,0.0,-566.9476318359375,8.979153633117676,22.625550746917725
8,0.5407789701457458,-1.3465464993990384,-140.0408359375,-1.3465464993990384,-0.08534380793571472,0.26729634404182434,0.2990376755984564,0.0,-480.5577392578125,33.3852424621582,27.878401279449463
9,-0.4767436128950836,-1.0657760667067309,-110.8407109375,-1.0657760667067309,0.3201287090778351,1.2281816005706787,0.192586042579442,0.0,-583.6173706054688,13.672476768493652,33.00639224052429
10,-1.4501630285143994,-1.2553199368990384,-130.5532734375,-1.2553199368990384,-1.2592451572418213,1.3448002338409424,0.3801027436911833,0.0,-807.243896484375,32.106632232666016,38.037224769592285
11,-1.5483682782673467,-1.8338995643028846,-190.7255546875,-1.8338995643028846,-0.4663686454296112,0.6773324012756348,0.2743314914887597,0.0,-644.6998901367188,29.928491592407227,42.308799743652344
12,-1.2450249381077234,-1.0049069073016828,-104.510318359375,-1.0049069073016828,-1.1055577993392944,0.9086589217185974,0.6150571207075717,0.0,-617.5830078125,20.797399520874023,45.646599531173706
