epoch,train_step,train_sp_return,train_margin_chg,val_step,val_sp_return,val_margin_chg,nll_window,nll_step_channel,z_mean,z_std,ks_stat,ks_p,logdet_mean,logdet_std,elapsed_s
1,0.7534100029951667,0.6789891400740129,0.8278309158544758,0.8780456918569712,0.9892099609375,0.7668815354567308,91.316751953125,0.8780456918569712,0.001787574146874249,0.2282664030790329,0.30735209800040486,0.0,-23.328136444091797,44.76511001586914,5.236087083816528
2,-0.2693058413937148,-0.3418513096528021,-0.1967603672534811,0.12204964740459735,-0.12142990112304687,0.3655292493380033,12.693163330078125,0.12204964740459735,-0.021764831617474556,0.35778889060020447,0.2569925782994018,0.0,-187.00100708007812,47.45830535888672,9.673329591751099
3,-0.8462903382754179,-0.9163946448679702,-0.7761860019675997,1.0239620549128605,1.1185146648700421,0.9294093487079327,106.4920537109375,1.0239620549128605,-0.03843240439891815,0.276954710483551,0.2854627465801194,0.0,-11.582622528076172,96.63829803466797,14.25624680519104
4,-1.0934284453292462,-1.1234510537931366,-1.0634058327382356,0.5897194073016827,0.385882080078125,0.7935566734900842,61.330818359375,0.5897194073016827,0.09205330908298492,0.26105135679244995,0.31998411607659916,0.0,-95.20881652832031,161.7776641845703,19.04281520843506
5,-1.4279765692750805,-1.5135626936841033,-1.3423904795338681,-0.5280345271183895,-1.1562940814678486,0.10022501784104568,-54.9155908203125,-0.5280345271183895,0.10348329693078995,0.611423671245575,0.14464406048310385,8.11332308367635e-238,-351.449951171875,117.23200988769531,23.90481424331665
6,-1.5195911180066377,-1.6054260755764074,-1.4337561290707537,-0.6411317795973558,-1.005397010216346,-0.27686651141826923,-66.677705078125,-0.6411317795973558,0.057619087398052216,0.30611714720726013,0.2694616195665428,0.0,-328.2703552246094,38.15712356567383,29.389710664749146
7,-1.5482983430794124,-1.6268142209893424,-1.469782463518634,-0.8924498760516827,-1.0389819148137018,-0.7459178372896634,-92.814787109375,-0.8924498760516827,-0.019171549007296562,0.3765809237957001,0.25989850934431513,0.0,-391.4192810058594,16.123699188232422,36.299038887023926
8,-1.8136056241542375,-1.8365722378907519,-1.7906389707973687,-1.0564341383713942,-1.4576637244591346,-0.655204608623798,-109.869150390625,-1.0564341383713942,0.09347070008516312,0.308481901884079,0.3118163040950208,0.0,-415.926025390625,62.6107292175293,41.1837522983551
9,-1.9837354251242918,-2.0223884008849815,-1.945082497238197,-1.1919772385817309,-1.4811466346153845,-0.902807861328125,-123.9656328125,-1.1919772385817309,0.10603757202625275,0.5615125894546509,0.22902960741445008,0.0,-472.54986572265625,20.453336715698242,46.29624915122986
10,-2.0090698684614794,-2.0592565704679173,-1.9588831119770536,-0.7550640305739182,-1.2276695838341347,-0.28245843153733474,-78.5266591796875,-0.7550640305739182,0.08400432020425797,0.29321256279945374,0.2872632072990252,0.0,-363.0939636230469,67.60820007324219,51.74233961105347
11,-2.054611171386877,-2.0335498938993317,-2.0756724901456254,-0.6734133958082933,-0.6648370830829327,-0.6819897273137019,-70.0349931640625,-0.6734133958082933,-0.03838202357292175,0.18321718275547028,0.3779279206406826,0.0,-338.8992614746094,49.52359390258789,57.292351722717285
12,-2.1142133320485774,-2.081763418053802,-2.146663214677239,-1.007350313626803,-0.8937397273137019,-1.1209608811598557,-104.7644326171875,-1.007350313626803,0.06690363585948944,0.3812130391597748,0.25910287055406966,0.0,-421.1491394042969,76.47603607177734,64.1591477394104
13,-2.215927102562412,-2.208383218661462,-2.22347104094135,-1.564875525841346,-1.668222919170673,-1.4615281512920673,-162.7470546875,-1.564875525841346,-0.08508499711751938,0.5038005113601685,0.1842102939927731,0.0,-551.3796997070312,88.7463607788086,69.34379053115845
14,-2.1256392909298336,-2.14492817496655,-2.106350426703295,-1.2591152907151442,-1.0644385422926683,-1.4537920673076923,-130.947990234375,-1.2591152907151442,0.23059995472431183,0.4649137556552887,0.2429377687277627,0.0,-488.4910888671875,98.1934585571289,74.24196076393127
15,-2.2335336122447815,-2.2036899152700227,-2.2633772861076666,-1.403238525390625,-1.2444837740384616,-1.5619933143028846,-145.936806640625,-1.403238525390625,0.04393874108791351,0.45113250613212585,0.23394289444927846,0.0,-472.2894592285156,114.3766098022461,79.48666977882385
16,-2.3360254984583984,-2.3024049977854864,-2.369645989226222,-1.5764313025841346,-1.2208006310096153,-1.9320620868389422,-163.94885546875,-1.5764313025841346,-0.06007399410009384,0.7566295266151428,0.15528976599718858,3.0538847260921743e-274,-568.9088134765625,66.79759216308594,85.25671577453613
