feature,train_sh_mean,test_sh_mean,delta_mean,ann_ret_mean,mean_total_avg,a_f_per_fold,b_f_per_fold
ndx_52wh_ratio,0.6279442051759768,0.9486776585881479,0.2891092779606255,23.68820577799015,1.9152542372881356,"[1.007, 0.89, 0.503]","[-0.928, -1.274, -0.804]"
ndx_in_range,0.6139604173349752,0.8160477018144192,0.1564793211868969,19.149291652637118,1.864406779661017,"[1.382, 0.416, 0.556]","[-1.02, -0.491, -0.796]"
ndx_return,0.5372850899780631,0.7787965704965236,0.1192281898690014,16.247430388215456,1.7005649717514124,"[0.553, 0.378, 0.531]","[-0.758, -0.238, -0.581]"
sp_1m,0.5388123625881569,0.7320066503794743,0.07243826975195193,13.478726805818015,1.5720338983050848,"[0.572, 0.271, -0.065]","[-1.154, 0.247, -0.106]"
ndx_3m,0.5304743839350862,0.6682659646163667,0.00869758398884444,17.074985169867364,1.7740112994350283,"[0.817, 0.454, 0.463]","[-0.678, -0.556, -0.47]"
sp_in_range,0.6437185930422245,0.6326022885178916,-0.026966092109630645,14.247363740724277,1.864406779661017,"[0.65, 0.428, 0.607]","[-0.718, -0.446, -0.477]"
ndx_1m,0.45175434999445957,0.6311698865452495,-0.028398494082272758,14.395627873874576,1.7457627118644066,"[0.888, 0.729, 0.185]","[-0.914, -0.301, -0.49]"
sp_52wl_ratio,0.6747999798097336,0.6122175370549109,-0.04735084357261143,13.194456221497857,1.8700564971751412,"[1.033, 0.919, 0.851]","[-0.906, -0.63, -0.914]"
credit_spread,0.5220603494438192,0.5938385564636011,-0.06572982416392123,13.914749138175333,1.88135593220339,"[-0.479, -1.158, -0.768]","[0.256, 0.47, 0.486]"
sp_52wh_ratio,0.5739332785908288,0.5804472915173988,-0.07912108911012344,12.820457412957387,1.807909604519774,"[0.67, 0.703, 1.317]","[-1.118, -0.928, -0.74]"
m2_growth,0.4723956940484951,0.5792155033039678,-0.08035287732355452,12.618170189005236,1.5310734463276836,"[-0.513, -0.533, -0.647]","[0.966, 0.824, 0.078]"
sp_return,0.6136624719230223,0.5712133622069219,-0.08835501842060034,8.175289793762689,1.3898305084745761,"[0.452, 0.463, 0.024]","[-1.092, -0.351, -0.371]"
m2_3m,0.4737606317616346,0.4975854236609842,-0.1619829569665381,10.309363021894477,1.5197740112994351,"[1.162, -1.033, -0.062]","[-1.103, 0.612, 0.131]"
sentiment,0.5960230229014934,0.3997501379924828,-0.25981824263503944,7.346877871124025,1.5324858757062145,"[0.184, 0.329, 0.352]","[-1.0, -0.36, -0.258]"
metabolism,0.47463630545342994,0.37638907244446607,-0.28317930818305626,10.063449627121136,1.6214689265536724,"[0.206, -0.301, -0.548]","[-0.332, -0.008, 0.103]"
ndx_52wl_ratio,0.5231645193811391,0.29867355861580647,-0.3608948220117158,6.90330907004649,1.480225988700565,"[1.011, 0.469, 0.44]","[-0.581, -0.433, -0.284]"
yield_curve,0.5741731534998268,0.125087257919916,-0.5344811227076063,2.041924002953514,1.057909604519774,"[-1.01, -0.33, -0.029]","[1.249, 0.182, -0.291]"
