feature,train_sh_mean,test_sh_mean,delta_mean,ann_ret_mean,mean_ws_avg,a_f_per_fold,b_f_per_fold
ndx_return,0.429535782367199,0.7491392807055314,0.7417416154848541,11.294057589104606,0.908641975308642,"[0.755, 0.517, 0.298]","[-0.776, -0.568, -0.652]"
ndx_3m_mean,0.4589322042798319,0.6889352855005558,0.6815376202798786,10.637784253788645,0.9453703703703704,"[0.999, 0.648, 0.569]","[-0.813, -0.754, -0.231]"
ndx_in_range,0.510048304432074,0.6730496340653183,0.6656519688446411,10.11342723562379,0.908641975308642,"[1.069, 0.548, 0.625]","[-0.929, -0.444, -0.513]"
ndx_6m_mean,0.5458239581581413,0.6395877900224357,0.6321901248017586,9.221028715420772,0.8358024691358025,"[1.036, 0.729, 0.855]","[-0.877, -0.65, -0.76]"
ndx_1m,0.39808178656758614,0.6345826264542996,0.6271849612336226,9.779289034751168,0.9330246913580247,"[0.773, 0.68, 0.592]","[-0.9, -0.51, -0.473]"
ndx_52wh_ratio,0.5771257541897667,0.6316714328430499,0.6242737676223727,9.493472935067823,0.9200617283950617,"[0.824, 0.965, 0.881]","[-1.265, -1.066, -1.356]"
sp_52wl_ratio,0.6098070203953301,0.630330930987443,0.6229332657667658,8.9711719375526,0.8296296296296296,"[0.815, 0.662, 0.806]","[-0.988, -0.909, -0.715]"
sp_in_range,0.5645147179082565,0.6232326163245091,0.6158349511038318,9.265634947391773,0.8901234567901235,"[0.496, 0.741, 0.685]","[-0.695, -0.472, -0.263]"
ndx_3m_std,0.5494500878706511,0.5998355585932474,0.5924378933725704,8.26184140059841,0.7567901234567901,"[-1.332, -1.066, -1.094]","[1.353, 1.403, 0.311]"
sp_52wh_ratio,0.5143152876412991,0.5930314639320599,0.5856337987113828,8.75209523149775,0.8419753086419753,"[0.781, 0.758, 0.747]","[-0.864, -0.908, -0.642]"
vix_6m_mean,0.6138845404958359,0.578365623054112,0.5709679578334348,6.306927509456524,0.5907407407407408,"[-0.872, -0.5, -0.81]","[1.251, 1.364, 1.361]"
credit_spread,0.4750227269310782,0.5756809091762777,0.5682832439556004,8.857259427502669,0.8830246913580247,"[-0.673, -0.893, -0.892]","[0.642, 0.599, 0.263]"
sp_6m_mean,0.5599535986463662,0.5658538975268544,0.5584562323061774,8.351121570448942,0.8537037037037036,"[1.11, 0.992, 1.008]","[-0.892, -0.919, -0.705]"
sp_3m_std,0.53559325335644,0.5560953707276791,0.5486977055070019,6.709799428508622,0.5450617283950617,"[-0.471, -0.321, -0.31]","[0.759, 0.451, -0.135]"
ndx_52wl_ratio,0.4608163384173063,0.5512974053174428,0.5438997400967654,8.051256294250157,0.744753086419753,"[1.107, 0.005, 0.652]","[-1.03, -0.375, -0.351]"
ndx_6m_std,0.5591283009007707,0.5378840711818272,0.5304864059611502,7.72350613571237,0.7543209876543209,"[-0.652, -0.767, -0.339]","[0.808, 0.674, 0.184]"
metabolism,0.40713720107933044,0.5066448174981979,0.49924715227752076,4.322207455086713,0.46388888888888896,"[-0.653, 0.166, -0.308]","[0.22, -0.057, 0.161]"
m2_3m,0.40092926806013535,0.42348789300190304,0.4160902277812259,7.048390781276562,0.6083333333333334,"[1.118, 0.301, 0.376]","[-0.773, -0.157, -0.77]"
vix_6m_std,0.5242833947710807,0.40634078465452395,0.3989431194338467,5.024645925252173,0.4231481481481481,"[-0.454, -0.566, -0.317]","[0.845, 0.747, 0.076]"
ndx_3m,0.49509116058528035,0.3649174970712561,0.35751983185057884,5.501317297248106,0.6163580246913581,"[0.789, 0.646, 0.461]","[-0.598, -1.292, -0.378]"
vix_3m_mean,0.6236861011300753,0.3359551654893393,0.3285575002686621,4.9674695507671816,0.6259259259259259,"[-0.743, -0.607, -0.767]","[1.23, 1.201, 0.908]"
sp_6m_std,0.5244971415113175,0.3353363585566787,0.3279386933360015,4.485003814256458,0.42037037037037034,"[-0.78, -0.62, 0.198]","[0.927, 0.553, -0.311]"
m2_growth,0.4057070653569359,0.2596728614078501,0.252275196187173,4.283613923644751,0.3882716049382717,"[-0.691, -0.287, 0.11]","[0.151, 0.705, -0.608]"
sp_return,0.5232954509386721,0.24699496874972796,0.23959730352905076,2.7913712009023968,0.14938271604938277,"[-0.351, 0.098, -0.158]","[-0.592, -0.463, -0.437]"
yield_curve,0.5480969730936153,0.1855167708820231,0.1781191056613459,1.9918029541304099,0.0382716049382716,"[-0.807, 0.231, -0.036]","[1.233, -0.57, -0.263]"
sentiment,0.6326411079685687,0.18040361877242028,0.17300595355174309,3.160959769581543,0.35246913580246914,"[-0.372, -0.136, 0.442]","[-0.317, -0.566, -0.802]"
vix_3m_std,0.5568687705506464,0.16169884619719554,0.15430118097651835,3.022222739920203,0.3058641975308642,"[-0.358, -0.153, -0.905]","[0.324, 0.727, 0.723]"
sp_3m_mean,0.5302334409333918,0.06594195452382222,0.058544289303145015,1.8697416190626075,0.3679012345679012,"[-0.047, 0.436, 0.472]","[-0.453, -0.531, -0.712]"
sp_1m,0.49413760370427684,-0.1542746417135879,-0.1616723069342651,0.7356307624045858,0.05030864197530865,"[-0.447, -0.593, 0.258]","[-0.403, -0.742, -0.234]"
