epoch,train_nll_win,train_nll_step,val_nll_win,val_nll_step,z_mean,z_std,ks_p,logdet_mean,logdet_std,lr,elapsed_sec
1,187.15381475106742,1.799555911067956,-75.8881103515625,-0.7296933687650241,0.46601244807243347,0.9142730832099915,0.0,-226.2169952392578,24.130184173583984,9.999383162408304e-05,6.541193962097168
2,-74.16881092755264,-0.71316164353416,-143.08697102864582,-1.3758362598908251,-0.052900251001119614,0.8861753344535828,2.949812409685827e-108,-279.6380310058594,36.344478607177734,9.997532801828658e-05,13.366995573043823
3,-108.11167532596718,-1.0395353396727613,-165.94639756944446,-1.595638438167735,0.09215845912694931,0.8061231970787048,0.0,-295.7490539550781,24.797529220581055,9.994449374809851e-05,20.146771907806396
4,-142.03306969652914,-1.365702593235857,-180.52889539930555,-1.7358547634548611,0.542201817035675,0.8101322054862976,0.0,-325.5139465332031,19.76522445678711,9.990133642141359e-05,26.97439217567444
5,-171.11396800012244,-1.6453266153857926,-196.0761501736111,-1.8853475978231837,0.4084368348121643,0.7789943814277649,0.0,-331.8757019042969,12.386138916015625,9.98458666866564e-05,33.69137406349182
6,-188.21895564244613,-1.809797650408136,-183.77621527777777,-1.7670789930555555,0.5670019388198853,1.038280725479126,0.0,-352.1207580566406,16.927881240844727,9.9778098230154e-05,40.67622184753418
7,-194.08718474534768,-1.8662229302437277,-180.52469618055557,-1.7358143863514959,0.6532155871391296,0.9628998637199402,0.0,-346.4953918457031,16.437341690063477,9.9698047772759e-05,48.053014278411865
8,-197.83212881060234,-1.9022320077942534,-217.90450846354167,-2.0952356583032854,-0.11562935262918472,0.7515063881874084,0.0,-343.5369873046875,22.429868698120117,9.96057350657239e-05,55.77727651596069
9,-209.3389293584721,-2.0128743207545394,-194.36493598090277,-1.8688936152009883,0.5274533033370972,0.6510673761367798,0.0,-326.4435119628906,16.59174346923828,9.950118288582787e-05,63.19687509536743
10,-180.1013735958925,-1.7317439768835818,-203.12937825520834,-1.9531670986077725,0.21687719225883484,0.5622959733009338,0.0,-317.5860290527344,20.806568145751953,9.938441702975689e-05,70.63178610801697
11,-208.8391943024608,-2.0080691759852,-201.40028211805554,-1.9365411742120726,0.5847009420394897,0.8949859738349915,0.0,-356.3993835449219,21.994264602661133,9.925546630773869e-05,78.04805278778076
