epoch,train_nll_win,train_nll_step,val_nll_win,val_nll_step,z_mean,z_std,ks_p,logdet_mean,logdet_std,lr,elapsed_sec
1,76.17765140066417,0.7324774173140786,-77.16030815972222,-0.7419260399973291,-0.903253972530365,0.8940178751945496,0.0,-256.71697998046875,14.088546752929688,9.999383162408304e-05,6.899180173873901
2,-134.52713667283913,-1.293530160315761,-130.4474609375,-1.254302509014423,1.4090367555618286,0.9200621247291565,0.0,-373.27581787109375,5.855869293212891,9.997532801828658e-05,13.484522819519043
3,-169.45758122398385,-1.6293998194613832,-108.31792534722223,-1.0415185129540598,-1.4755873680114746,0.6412591934204102,0.0,-338.4932861328125,5.564120769500732,9.994449374809851e-05,20.09633469581604
4,-195.83268356696865,-1.883006572759314,-188.36552191840278,-1.8112069415231036,0.9303865432739258,0.5467371344566345,0.0,-344.4912414550781,3.2678065299987793,9.990133642141359e-05,26.702690601348877
5,-206.9857848463516,-1.9902479312149193,-189.49647352430554,-1.8220814761952455,0.6355218291282654,0.4188254773616791,0.0,-315.1897888183594,3.9399850368499756,9.98458666866564e-05,33.77350974082947
6,-196.52903862634673,-1.889702294484103,-185.6298773871528,-1.7849026671841615,-1.1139827966690063,0.7950610518455505,0.0,-378.5996398925781,4.275025844573975,9.9778098230154e-05,40.80295538902283
7,-216.257888061643,-2.0794027698234903,-203.9894965277778,-1.961437466613248,-0.11450174450874329,0.3880278766155243,0.0,-308.0702819824219,3.9862656593322754,9.9698047772759e-05,47.72310471534729
8,-229.40092625183644,-2.205778137036889,-246.7479709201389,-2.372576643462874,-0.559181809425354,0.9127188920974731,0.0,-401.89605712890625,4.776512622833252,9.96057350657239e-05,55.06943726539612
9,-240.20903889416013,-2.309702297059232,-247.83281792534723,-2.3830078646668005,-0.20447216928005219,0.6494076251983643,0.0,-367.5065002441406,4.697921276092529,9.950118288582787e-05,62.896706104278564
10,-245.0967083817948,-2.3566991190557194,-251.13819444444445,-2.4147903311965813,-0.27554288506507874,0.6899146437644958,0.0,-375.4068908691406,3.9161508083343506,9.938441702975689e-05,70.74503827095032
11,-247.1786650266283,-2.376717932948349,-249.1267035590278,-2.3954490726829594,-0.16040432453155518,0.631115734577179,0.0,-366.7462158203125,4.283094882965088,9.925546630773869e-05,78.77977705001831
12,-248.91468899210332,-2.3934104710779165,-248.91027560763888,-2.3933680346888355,-0.23938976228237152,0.6405273079872131,0.0,-368.794189453125,4.508957386016846,9.911436253643444e-05,86.56006479263306
13,-250.3470374097086,-2.407183052016429,-252.58932291666667,-2.4287434895833333,-0.05013740807771683,0.6447721719741821,0.0,-369.90765380859375,4.575422763824463,9.896114053108829e-05,94.01302170753479
14,-251.91122176481392,-2.4222232862001336,-255.6919162326389,-2.458576117621528,-0.10961323231458664,0.6667629480361938,0.0,-375.0041198730469,5.165886402130127,9.879583809693738e-05,101.5398941040039
15,-252.82544590934134,-2.4310139029744358,-259.52246636284724,-2.4954083304119927,-0.08707335591316223,0.7052046656608582,2.856980610155922e-287,-381.34661865234375,5.747152328491211,9.861849601988384e-05,109.0374071598053
16,-252.96175911330803,-2.432324606858731,-248.50240342881943,-2.3894461868155714,-0.40318045020103455,0.6683802008628845,0.0,-375.7549133300781,6.862386703491211,9.842915805643157e-05,116.45609879493713
17,-255.4908819095862,-2.4566430952844827,-237.11417643229166,-2.2799440041566505,-0.13084031641483307,0.4988005459308624,0.0,-346.5116882324219,6.135437965393066,9.822787092288992e-05,123.64084029197693
18,-253.6556675058154,-2.4389968029405327,-268.4311740451389,-2.581068981203259,-0.06391949951648712,0.8221096992492676,6.048837684890414e-131,-399.35821533203125,8.898909568786621,9.801468428384718e-05,130.83891081809998
19,-256.3970228712659,-2.4653559891467873,-250.0256293402778,-2.4040925898103636,-0.1285882145166397,0.6099843382835388,0.0,-365.80328369140625,7.948459148406982,9.778965073991652e-05,138.29069709777832
20,-257.70602025434624,-2.4779425024456367,-260.96407335069443,-2.5092699360643698,-0.026962926611304283,0.6836733222007751,4.188600068682135e-261,-380.87677001953125,8.390056610107422,9.75528258147577e-05,145.35590815544128
21,-257.4190017446131,-2.4751827090828185,-263.06282009548613,-2.529450193225828,0.2361828088760376,0.8042332530021667,0.0,-395.1662292480469,9.476814270019531,9.730426794137729e-05,153.08107995986938
22,-252.81659276291626,-2.4309287765665024,-253.75933159722223,-2.439993573050214,-0.2565295696258545,0.6568236351013184,0.0,-375.18463134765625,8.584814071655273,9.70440384477113e-05,160.1119191646576
23,-245.85507181225515,-2.363991075117838,-243.75801866319443,-2.3438271025307156,0.37264227867126465,0.5991358160972595,0.0,-365.2145690917969,8.782328605651855,9.67722015414934e-05,167.1192708015442
24,-254.29229539054847,-2.44511822490912,-251.48353949652778,-2.4181109566973826,0.11346089839935303,0.6371632814407349,0.0,-368.8333740234375,7.613327503204346,9.64888242944126e-05,174.13230347633362
25,-259.7216108211925,-2.4973231809730048,-241.83502604166668,-2.3253367888621796,-0.08276690542697906,0.5187731385231018,0.0,-351.7554016113281,6.814112663269043,9.619397662556436e-05,181.39916968345642
26,-261.028027630693,-2.5098848810643557,-266.71800130208334,-2.564596166366186,-0.018383963033556938,0.7478815317153931,1.0353580045475564e-142,-391.39013671875,10.098270416259766,9.588773128419907e-05,189.1101086139679
27,-261.9024020950661,-2.518292327837174,-263.7844943576389,-2.5363893688234507,0.13066405057907104,0.7200405597686768,2.0041237743026e-311,-387.20172119140625,10.160754203796387,9.557016383177228e-05,196.83623552322388
