fold,condition,seed,auc,n_features
W1,baseline,42,0.75,31
W1,baseline,123,0.7760989010989011,31
W1,baseline,777,0.771978021978022,31
W1,baseline,0,0.6978021978021978,31
W1,baseline,99,0.7445054945054945,31
W1,with_fomo,42,0.695054945054945,32
W1,with_fomo,123,0.6785714285714286,32
W1,with_fomo,777,0.6648351648351648,32
W1,with_fomo,0,0.7802197802197802,32
W1,with_fomo,99,0.6895604395604396,32
W2,baseline,42,0.9727272727272727,31
W2,baseline,123,0.8590909090909091,31
W2,baseline,777,0.9227272727272727,31
W2,baseline,0,0.9863636363636363,31
W2,baseline,99,0.8863636363636365,31
W2,with_fomo,42,0.9636363636363636,32
W2,with_fomo,123,0.9818181818181818,32
W2,with_fomo,777,0.9681818181818181,32
W2,with_fomo,0,0.9863636363636363,32
W2,with_fomo,99,0.9136363636363636,32
W3,baseline,42,0.6117021276595744,31
W3,baseline,123,0.6205673758865249,31
W3,baseline,777,0.599290780141844,31
W3,baseline,0,0.5886524822695036,31
W3,baseline,99,0.6365248226950355,31
W3,with_fomo,42,0.6418439716312057,32
W3,with_fomo,123,0.6542553191489362,32
W3,with_fomo,777,0.6117021276595744,32
W3,with_fomo,0,0.5939716312056736,32
W3,with_fomo,99,0.6613475177304965,32
