fold,feature,horizon,baseline_mean,with_mean,dAUC,t_stat,p_value
W1,pp_bond,1,0.5754838709677419,0.575483870967742,1.1102230246251565e-16,0.0,1.0
W1,pp_stock,1,0.5754838709677419,0.5664516129032259,-0.009032258064516019,-0.49936346250449737,0.6437403034963682
W1,fomo_gap,1,0.5754838709677419,0.5754838709677419,0.0,0.0,1.0
W1,pp_bond,3,0.5754838709677419,0.567741935483871,-0.007741935483870921,-0.28734788556634516,0.7881176570369857
W1,pp_stock,3,0.5754838709677419,0.5767741935483871,0.001290322580645209,0.06408413361120131,0.9519779772588632
W1,fomo_gap,3,0.5754838709677419,0.5496774193548387,-0.02580645161290318,-1.1952286093343922,0.2980148117312109
W1,pp_bond,6,0.5754838709677419,0.5819354838709677,0.006451612903225823,0.32791291789197624,0.7594234506804676
W1,pp_stock,6,0.5754838709677419,0.598709677419355,0.023225806451613096,2.7941418925428,0.04910402953420797
W1,fomo_gap,6,0.5754838709677419,0.6000000000000001,0.024516129032258194,4.74999999999999,0.008970902498598086
W1,pp_bond,12,0.5754838709677419,0.5948387096774195,0.01935483870967758,0.9214426752509273,0.40896500385440704
W1,pp_stock,12,0.5754838709677419,0.5354838709677419,-0.040000000000000036,-3.4988624174952183,0.02492182760515441
W1,fomo_gap,12,0.5754838709677419,0.5445161290322581,-0.030967741935483795,-1.7963548525562874,0.14686005729875026
W2,pp_bond,1,,,,,
W2,pp_stock,1,,,,,
W2,fomo_gap,1,,,,,
W2,pp_bond,3,,,,,
W2,pp_stock,3,,,,,
W2,fomo_gap,3,,,,,
W2,pp_bond,6,,,,,
W2,pp_stock,6,,,,,
W2,fomo_gap,6,,,,,
W2,pp_bond,12,,,,,
W2,pp_stock,12,,,,,
W2,fomo_gap,12,,,,,
W3,pp_bond,1,0.7542857142857142,0.7714285714285715,0.017142857142857237,0.2721655269759084,0.798965859192779
W3,pp_stock,1,0.7542857142857142,0.777142857142857,0.022857142857142798,1.3719886811400674,0.24198153056802166
W3,fomo_gap,1,0.7542857142857142,0.7828571428571428,0.02857142857142858,0.7669649888473709,0.48586624427938147
W3,pp_bond,3,0.7542857142857142,0.8114285714285716,0.057142857142857384,0.9428090415820631,0.3991616175432798
W3,pp_stock,3,0.7542857142857142,0.8457142857142858,0.09142857142857153,2.4259137394524912,0.07229938953636064
W3,fomo_gap,3,0.7542857142857142,0.7771428571428571,0.02285714285714291,4.0,0.016130089900092532
W3,pp_bond,6,0.7542857142857142,0.7885714285714285,0.03428571428571425,0.5144957554275265,0.634027161196277
W3,pp_stock,6,0.7542857142857142,0.7942857142857143,0.040000000000000036,0.9113223768657662,0.4136785318742462
W3,fomo_gap,6,0.7542857142857142,0.7828571428571428,0.02857142857142858,0.8770580193070282,0.4299733794885499
W3,pp_bond,12,0.7542857142857142,0.8457142857142859,0.09142857142857164,1.9331906986565672,0.12535460853443817
W3,pp_stock,12,0.7542857142857142,0.8114285714285714,0.05714285714285716,2.2360679774997885,0.08900934250008577
W3,fomo_gap,12,0.7542857142857142,0.7828571428571429,0.028571428571428692,0.6201736729460426,0.5687284486490818
W4,pp_bond,1,0.8241071428571429,0.8160714285714287,-0.008035714285714257,-0.6985354731356984,0.5233234322348471
W4,pp_stock,1,0.8241071428571429,0.8294642857142855,0.005357142857142616,0.9370425713316418,0.40178766311617825
W4,fomo_gap,1,0.8241071428571429,0.8321428571428571,0.008035714285714146,0.7647467195917629,0.48704796177890014
W4,pp_bond,3,0.8241071428571429,0.825,0.0008928571428570287,0.08497185773241712,0.9363667871168104
W4,pp_stock,3,0.8241071428571429,0.8303571428571429,0.006249999999999978,0.6286185570937132,0.5637087793375332
W4,fomo_gap,3,0.8241071428571429,0.83125,0.0071428571428571175,0.9630868246861577,0.3900425950746003
W4,pp_bond,6,0.8241071428571429,0.8098214285714287,-0.014285714285714235,-0.6142498465500301,0.5722675455262166
W4,pp_stock,6,0.8241071428571429,0.8321428571428571,0.008035714285714146,0.8098582871985249,0.46344708341069984
W4,fomo_gap,6,0.8241071428571429,0.8392857142857142,0.015178571428571264,1.6099466609552895,0.18269638125903398
W4,pp_bond,12,0.8241071428571429,0.8410714285714285,0.016964285714285543,2.5976265226937296,0.0601983383124951
W4,pp_stock,12,0.8241071428571429,0.8428571428571429,0.018749999999999933,1.8175177541132512,0.1432897420421973
W4,fomo_gap,12,0.8241071428571429,0.83125,0.0071428571428571175,0.6609539078176246,0.5447691927746261
W5,pp_bond,1,0.7004926108374384,0.7152709359605911,0.014778325123152691,0.6296632202416687,0.5630899253598113
W5,pp_stock,1,0.7004926108374384,0.69064039408867,-0.009852216748768461,-0.5113099925649143,0.6360647594907121
W5,fomo_gap,1,0.7004926108374384,0.6985221674876848,-0.0019704433497536034,-0.08634657835527002,0.9353404599005236
W5,pp_bond,3,0.7004926108374384,0.7157635467980296,0.015270935960591148,0.879986081495671,0.428560563010489
W5,pp_stock,3,0.7004926108374384,0.6975369458128078,-0.002955665024630627,-0.14699878726500962,0.8902444299299279
W5,fomo_gap,3,0.7004926108374384,0.7064039408866994,0.005911330049261032,0.28097574347450677,0.7926638356375516
W5,pp_bond,6,0.7004926108374384,0.7359605911330049,0.035467980295566526,2.6220853466252274,0.05867089793058609
W5,pp_stock,6,0.7004926108374384,0.7064039408866994,0.005911330049261032,1.0366421106976205,0.3584563446229691
W5,fomo_gap,6,0.7004926108374384,0.6886699507389163,-0.011822660098522064,-0.4775233015916053,0.6579116373164313
W5,pp_bond,12,0.7004926108374384,0.7270935960591134,0.026600985221674978,0.9982897199728239,0.37463586040433006
W5,pp_stock,12,0.7004926108374384,0.6975369458128078,-0.002955665024630627,-0.15259717918244195,0.8861039557775743
W5,fomo_gap,12,0.7004926108374384,0.6945812807881773,-0.005911330049261143,-0.24174688920761572,0.8208639999999988
