fold,condition,feature,horizon,seed,auc
W1,baseline,(none),0,42,0.5483870967741935
W1,baseline,(none),0,123,0.567741935483871
W1,baseline,(none),0,777,0.5612903225806452
W1,baseline,(none),0,0,0.6193548387096774
W1,baseline,(none),0,99,0.5806451612903226
W1,with_pp_bond_1m,pp_bond,1,42,0.5290322580645161
W1,with_pp_bond_1m,pp_bond,1,123,0.567741935483871
W1,with_pp_bond_1m,pp_bond,1,777,0.6
W1,with_pp_bond_1m,pp_bond,1,0,0.5870967741935484
W1,with_pp_bond_1m,pp_bond,1,99,0.5935483870967742
W1,with_pp_stock_1m,pp_stock,1,42,0.5161290322580645
W1,with_pp_stock_1m,pp_stock,1,123,0.5612903225806452
W1,with_pp_stock_1m,pp_stock,1,777,0.5870967741935483
W1,with_pp_stock_1m,pp_stock,1,0,0.5548387096774194
W1,with_pp_stock_1m,pp_stock,1,99,0.6129032258064515
W1,with_fomo_gap_1m,fomo_gap,1,42,0.5225806451612903
W1,with_fomo_gap_1m,fomo_gap,1,123,0.567741935483871
W1,with_fomo_gap_1m,fomo_gap,1,777,0.6064516129032258
W1,with_fomo_gap_1m,fomo_gap,1,0,0.5806451612903226
W1,with_fomo_gap_1m,fomo_gap,1,99,0.6
W1,with_pp_bond_3m,pp_bond,3,42,0.6064516129032258
W1,with_pp_bond_3m,pp_bond,3,123,0.6193548387096774
W1,with_pp_bond_3m,pp_bond,3,777,0.5419354838709678
W1,with_pp_bond_3m,pp_bond,3,0,0.5483870967741935
W1,with_pp_bond_3m,pp_bond,3,99,0.5225806451612903
W1,with_pp_stock_3m,pp_stock,3,42,0.5935483870967743
W1,with_pp_stock_3m,pp_stock,3,123,0.6064516129032259
W1,with_pp_stock_3m,pp_stock,3,777,0.567741935483871
W1,with_pp_stock_3m,pp_stock,3,0,0.5548387096774193
W1,with_pp_stock_3m,pp_stock,3,99,0.5612903225806452
W1,with_fomo_gap_3m,fomo_gap,3,42,0.535483870967742
W1,with_fomo_gap_3m,fomo_gap,3,123,0.6129032258064516
W1,with_fomo_gap_3m,fomo_gap,3,777,0.5419354838709678
W1,with_fomo_gap_3m,fomo_gap,3,0,0.5483870967741935
W1,with_fomo_gap_3m,fomo_gap,3,99,0.5096774193548388
W1,with_pp_bond_6m,pp_bond,6,42,0.5548387096774194
W1,with_pp_bond_6m,pp_bond,6,123,0.5225806451612903
W1,with_pp_bond_6m,pp_bond,6,777,0.5935483870967742
W1,with_pp_bond_6m,pp_bond,6,0,0.6838709677419355
W1,with_pp_bond_6m,pp_bond,6,99,0.5548387096774193
W1,with_pp_stock_6m,pp_stock,6,42,0.5806451612903226
W1,with_pp_stock_6m,pp_stock,6,123,0.567741935483871
W1,with_pp_stock_6m,pp_stock,6,777,0.6
W1,with_pp_stock_6m,pp_stock,6,0,0.6258064516129033
W1,with_pp_stock_6m,pp_stock,6,99,0.6193548387096774
W1,with_fomo_gap_6m,fomo_gap,6,42,0.5806451612903226
W1,with_fomo_gap_6m,fomo_gap,6,123,0.6000000000000001
W1,with_fomo_gap_6m,fomo_gap,6,777,0.5935483870967743
W1,with_fomo_gap_6m,fomo_gap,6,0,0.6258064516129033
W1,with_fomo_gap_6m,fomo_gap,6,99,0.6
W1,with_pp_bond_12m,pp_bond,12,42,0.567741935483871
W1,with_pp_bond_12m,pp_bond,12,123,0.5290322580645161
W1,with_pp_bond_12m,pp_bond,12,777,0.6516129032258066
W1,with_pp_bond_12m,pp_bond,12,0,0.6193548387096774
W1,with_pp_bond_12m,pp_bond,12,99,0.6064516129032258
W1,with_pp_stock_12m,pp_stock,12,42,0.5096774193548388
W1,with_pp_stock_12m,pp_stock,12,123,0.49677419354838703
W1,with_pp_stock_12m,pp_stock,12,777,0.5612903225806452
W1,with_pp_stock_12m,pp_stock,12,0,0.5741935483870968
