fold,condition,feature,horizon,seed,auc
W1,baseline,(none),0,42,0.38477366255144035
W1,baseline,(none),0,123,0.32098765432098764
W1,baseline,(none),0,777,0.3168724279835391
W1,baseline,(none),0,0,0.5329218106995885
W1,baseline,(none),0,99,0.411522633744856
W1,with_pp_bond_1m,pp_bond,1,42,0.35390946502057613
W1,with_pp_bond_1m,pp_bond,1,123,0.42798353909465014
W1,with_pp_bond_1m,pp_bond,1,777,0.38271604938271603
W1,with_pp_bond_1m,pp_bond,1,0,0.3868312757201646
W1,with_pp_bond_1m,pp_bond,1,99,0.4773662551440329
W1,with_pp_stock_1m,pp_stock,1,42,0.38271604938271603
W1,with_pp_stock_1m,pp_stock,1,123,0.588477366255144
W1,with_pp_stock_1m,pp_stock,1,777,0.3991769547325103
W1,with_pp_stock_1m,pp_stock,1,0,0.34979423868312753
W1,with_pp_stock_1m,pp_stock,1,99,0.31275720164609055
W1,with_fomo_gap_1m,fomo_gap,1,42,0.29218106995884774
W1,with_fomo_gap_1m,fomo_gap,1,123,0.5432098765432098
W1,with_fomo_gap_1m,fomo_gap,1,777,0.4032921810699589
W1,with_fomo_gap_1m,fomo_gap,1,0,0.3786008230452675
W1,with_fomo_gap_1m,fomo_gap,1,99,0.29218106995884774
W1,with_pp_bond_3m,pp_bond,3,42,0.5308641975308642
W1,with_pp_bond_3m,pp_bond,3,123,0.24074074074074073
W1,with_pp_bond_3m,pp_bond,3,777,0.4156378600823045
W1,with_pp_bond_3m,pp_bond,3,0,0.37037037037037035
W1,with_pp_bond_3m,pp_bond,3,99,0.3168724279835391
W1,with_pp_stock_3m,pp_stock,3,42,0.4609053497942387
W1,with_pp_stock_3m,pp_stock,3,123,0.5102880658436214
W1,with_pp_stock_3m,pp_stock,3,777,0.49794238683127573
W1,with_pp_stock_3m,pp_stock,3,0,0.411522633744856
W1,with_pp_stock_3m,pp_stock,3,99,0.5102880658436214
W1,with_fomo_gap_3m,fomo_gap,3,42,0.4814814814814815
W1,with_fomo_gap_3m,fomo_gap,3,123,0.38065843621399176
W1,with_fomo_gap_3m,fomo_gap,3,777,0.4567901234567901
W1,with_fomo_gap_3m,fomo_gap,3,0,0.37037037037037035
W1,with_fomo_gap_3m,fomo_gap,3,99,0.242798353909465
W1,with_pp_bond_6m,pp_bond,6,42,0.44238683127572015
W1,with_pp_bond_6m,pp_bond,6,123,0.3292181069958848
W1,with_pp_bond_6m,pp_bond,6,777,0.29423868312757195
W1,with_pp_bond_6m,pp_bond,6,0,0.3950617283950617
W1,with_pp_bond_6m,pp_bond,6,99,0.6234567901234568
W1,with_pp_stock_6m,pp_stock,6,42,0.44238683127572015
W1,with_pp_stock_6m,pp_stock,6,123,0.2962962962962963
W1,with_pp_stock_6m,pp_stock,6,777,0.29423868312757195
W1,with_pp_stock_6m,pp_stock,6,0,0.3950617283950617
W1,with_pp_stock_6m,pp_stock,6,99,0.47325102880658443
W1,with_fomo_gap_6m,fomo_gap,6,42,0.44238683127572015
W1,with_fomo_gap_6m,fomo_gap,6,123,0.3292181069958848
W1,with_fomo_gap_6m,fomo_gap,6,777,0.29423868312757195
W1,with_fomo_gap_6m,fomo_gap,6,0,0.3950617283950617
W1,with_fomo_gap_6m,fomo_gap,6,99,0.4938271604938272
W1,with_pp_bond_12m,pp_bond,12,42,0.3950617283950617
W1,with_pp_bond_12m,pp_bond,12,123,0.37037037037037035
W1,with_pp_bond_12m,pp_bond,12,777,0.3868312757201646
W1,with_pp_bond_12m,pp_bond,12,0,0.3991769547325103
W1,with_pp_bond_12m,pp_bond,12,99,0.47736625514403286
W1,with_pp_stock_12m,pp_stock,12,42,0.4609053497942387
W1,with_pp_stock_12m,pp_stock,12,123,0.24279835390946503
W1,with_pp_stock_12m,pp_stock,12,777,0.3662551440329218
W1,with_pp_stock_12m,pp_stock,12,0,0.45679012345679015
W1,with_pp_stock_12m,pp_stock,12,99,0.47736625514403286
W1,with_fomo_gap_12m,fomo_gap,12,42,0.45679012345679015
W1,with_fomo_gap_12m,fomo_gap,12,123,0.42592592592592593
W1,with_fomo_gap_12m,fomo_gap,12,777,0.3292181069958848
W1,with_fomo_gap_12m,fomo_gap,12,0,0.41975308641975306
W1,with_fomo_gap_12m,fomo_gap,12,99,0.47736625514403286
W2,baseline,(none),0,42,0.625
W2,baseline,(none),0,123,0.7321428571428572
W2,baseline,(none),0,777,0.6049107142857143
W2,baseline,(none),0,0,0.45535714285714285
W2,baseline,(none),0,99,0.5491071428571429
W2,with_pp_bond_1m,pp_bond,1,42,0.6874999999999999
W2,with_pp_bond_1m,pp_bond,1,123,0.5133928571428571
W2,with_pp_bond_1m,pp_bond,1,777,0.4419642857142857
W2,with_pp_bond_1m,pp_bond,1,0,0.4910714285714286
W2,with_pp_bond_1m,pp_bond,1,99,0.5379464285714286
W2,with_pp_stock_1m,pp_stock,1,42,0.640625
W2,with_pp_stock_1m,pp_stock,1,123,0.5133928571428571
W2,with_pp_stock_1m,pp_stock,1,777,0.4553571428571429
W2,with_pp_stock_1m,pp_stock,1,0,0.5491071428571428
W2,with_pp_stock_1m,pp_stock,1,99,0.5401785714285714
W2,with_fomo_gap_1m,fomo_gap,1,42,0.671875
W2,with_fomo_gap_1m,fomo_gap,1,123,0.5133928571428571
W2,with_fomo_gap_1m,fomo_gap,1,777,0.4553571428571429
W2,with_fomo_gap_1m,fomo_gap,1,0,0.5491071428571428
W2,with_fomo_gap_1m,fomo_gap,1,99,0.4955357142857143
W2,with_pp_bond_3m,pp_bond,3,42,0.6875
W2,with_pp_bond_3m,pp_bond,3,123,0.5133928571428571
W2,with_pp_bond_3m,pp_bond,3,777,0.4285714285714286
W2,with_pp_bond_3m,pp_bond,3,0,0.5491071428571428
W2,with_pp_bond_3m,pp_bond,3,99,0.5513392857142857
W2,with_pp_stock_3m,pp_stock,3,42,0.6874999999999999
W2,with_pp_stock_3m,pp_stock,3,123,0.5133928571428571
W2,with_pp_stock_3m,pp_stock,3,777,0.6294642857142857
W2,with_pp_stock_3m,pp_stock,3,0,0.5736607142857142
W2,with_pp_stock_3m,pp_stock,3,99,0.40848214285714285
W2,with_fomo_gap_3m,fomo_gap,3,42,0.6874999999999999
W2,with_fomo_gap_3m,fomo_gap,3,123,0.7321428571428572
W2,with_fomo_gap_3m,fomo_gap,3,777,0.48214285714285715
W2,with_fomo_gap_3m,fomo_gap,3,0,0.5401785714285714
W2,with_fomo_gap_3m,fomo_gap,3,99,0.44866071428571425
W2,with_pp_bond_6m,pp_bond,6,42,0.6874999999999999
W2,with_pp_bond_6m,pp_bond,6,123,0.5133928571428571
W2,with_pp_bond_6m,pp_bond,6,777,0.5625
W2,with_pp_bond_6m,pp_bond,6,0,0.5491071428571428
W2,with_pp_bond_6m,pp_bond,6,99,0.6584821428571428
W2,with_pp_stock_6m,pp_stock,6,42,0.6874999999999999
W2,with_pp_stock_6m,pp_stock,6,123,0.5133928571428571
W2,with_pp_stock_6m,pp_stock,6,777,0.53125
W2,with_pp_stock_6m,pp_stock,6,0,0.5491071428571428
W2,with_pp_stock_6m,pp_stock,6,99,0.5334821428571429
W2,with_fomo_gap_6m,fomo_gap,6,42,0.6874999999999999
W2,with_fomo_gap_6m,fomo_gap,6,123,0.5133928571428571
W2,with_fomo_gap_6m,fomo_gap,6,777,0.4553571428571429
W2,with_fomo_gap_6m,fomo_gap,6,0,0.5491071428571428
W2,with_fomo_gap_6m,fomo_gap,6,99,0.5334821428571429
W2,with_pp_bond_12m,pp_bond,12,42,0.6138392857142856
W2,with_pp_bond_12m,pp_bond,12,123,0.5
W2,with_pp_bond_12m,pp_bond,12,777,0.4754464285714286
W2,with_pp_bond_12m,pp_bond,12,0,0.5245535714285714
W2,with_pp_bond_12m,pp_bond,12,99,0.4866071428571429
W2,with_pp_stock_12m,pp_stock,12,42,0.6874999999999999
W2,with_pp_stock_12m,pp_stock,12,123,0.5133928571428571
W2,with_pp_stock_12m,pp_stock,12,777,0.4866071428571428
W2,with_pp_stock_12m,pp_stock,12,0,0.4910714285714286
W2,with_pp_stock_12m,pp_stock,12,99,0.5334821428571429
W2,with_fomo_gap_12m,fomo_gap,12,42,0.6874999999999999
W2,with_fomo_gap_12m,fomo_gap,12,123,0.5133928571428571
W2,with_fomo_gap_12m,fomo_gap,12,777,0.5133928571428571
W2,with_fomo_gap_12m,fomo_gap,12,0,0.4910714285714286
W2,with_fomo_gap_12m,fomo_gap,12,99,0.49330357142857145
W3,baseline,(none),0,42,0.5267857142857143
W3,baseline,(none),0,123,0.5424107142857143
W3,baseline,(none),0,777,0.375
W3,baseline,(none),0,0,0.45089285714285715
W3,baseline,(none),0,99,0.5
W3,with_pp_bond_1m,pp_bond,1,42,0.5290178571428571
W3,with_pp_bond_1m,pp_bond,1,123,0.5691964285714286
W3,with_pp_bond_1m,pp_bond,1,777,0.4330357142857143
W3,with_pp_bond_1m,pp_bond,1,0,0.3928571428571428
W3,with_pp_bond_1m,pp_bond,1,99,0.4107142857142857
W3,with_pp_stock_1m,pp_stock,1,42,0.5022321428571429
W3,with_pp_stock_1m,pp_stock,1,123,0.5580357142857143
W3,with_pp_stock_1m,pp_stock,1,777,0.5044642857142857
W3,with_pp_stock_1m,pp_stock,1,0,0.38392857142857145
W3,with_pp_stock_1m,pp_stock,1,99,0.4196428571428572
W3,with_fomo_gap_1m,fomo_gap,1,42,0.5022321428571429
W3,with_fomo_gap_1m,fomo_gap,1,123,0.5580357142857143
