start,end,length_w,mean_gap,sign,peak_gap,threshold_k_sigma
2002-12-20,2003-03-21,14,0.010413081750430996,+,0.014272230185375467,1.0
2003-08-01,2003-08-29,5,0.00891687786454289,+,0.009898902340174005,1.0
2005-07-29,2005-09-23,9,0.008113103750838072,+,0.009447037458091872,1.0
2005-12-02,2007-08-10,89,0.01695447328737132,+,0.02417574346601259,1.0
2007-08-24,2007-09-14,4,0.008178354653658656,+,0.00965410792589309,1.0
2007-10-05,2007-10-26,4,0.009049767635828609,+,0.01136151108100747,1.0
2008-06-06,2008-08-22,12,-0.029532139232463606,−,-0.032405099979104075,1.0
2008-09-05,2008-11-28,13,-0.03142450506737157,−,-0.035883425298730835,1.0
2010-12-31,2012-01-06,54,-0.03656101137225495,−,-0.04746344163723819,1.0
2012-02-03,2012-05-04,14,-0.028544123166886617,−,-0.03344730206368543,1.0
2021-06-04,2022-02-11,37,-0.03374204829341585,−,-0.03667076190013595,1.0
2022-08-26,2022-12-09,16,0.01147848758112116,+,0.017790229079312745,1.0
2023-01-06,2025-02-21,112,0.02098434117267397,+,0.028425928361517725,1.0
2005-12-30,2006-05-26,22,0.018223542017033512,+,0.02134191124589613,1.5
2006-06-30,2006-08-25,9,0.01838035287068638,+,0.019481313303890045,1.5
2006-10-06,2007-06-08,36,0.018694755661472648,+,0.02417574346601259,1.5
2007-06-22,2007-07-27,6,0.016273550774554408,+,0.018075222956241428,1.5
2011-04-01,2011-10-14,29,-0.04152558533484968,−,-0.04746344163723819,1.5
2021-06-04,2021-06-25,4,-0.035135797611383815,−,-0.03574778900973845,1.5
2021-08-06,2022-01-07,23,-0.035218370021414806,−,-0.03667076190013595,1.5
2023-03-31,2023-04-28,5,0.017649730781143846,+,0.018649620103102622,1.5
2023-06-02,2023-11-24,26,0.022078662566231807,+,0.027126829490413267,1.5
2024-01-05,2025-01-24,56,0.024842969105607744,+,0.028425928361517725,1.5
2011-04-01,2011-05-27,9,-0.04558547422194096,−,-0.04746344163723819,2.0
2011-06-17,2011-07-29,7,-0.04460725231213774,−,-0.04660889834513772,2.0
2023-06-30,2023-10-27,18,0.024816811215210566,+,0.027126829490413267,2.0
2024-01-05,2024-09-20,38,0.02658670709678267,+,0.028425928361517725,2.0
2024-10-04,2024-11-08,6,0.022900132351306668,+,0.023326364645577163,2.0
