n,same_sign_ratio,corr,sp_mean,margin_mean,sp_pos_share,cond_match_when_sp_pos,cond_match_when_sp_neg,tag,ckpt,val_step,epoch,K,P,L
836,0.916267942583732,0.857443315012702,0.027635127305984497,0.06369614601135254,0.7045454545454546,0.9269949066213922,0.8906882591093117,0_train_real,,,,,,
414,0.7801932367149759,0.8636600666811703,0.11534776538610458,0.06456122547388077,0.8260869565217391,0.7368421052631579,0.9861111111111112,0_test_real,,,,,,
4140,0.3717391304347826,-0.37186842726681363,0.2529062032699585,0.02636597864329815,0.6495169082125604,0.3261435477872815,0.456237077877326,v2p20ch,favar_v33_v2p20ch_best.pt,-3.0147692307692306,51.0,2.0,52.0,104.0
4140,0.471256038647343,0.27612240360149526,-33.18446731567383,-58.623680114746094,0.6340579710144928,0.5264761904761904,0.37557755775577556,v2p20ch_k3,favar_v33_v2p20ch_k3_best.pt,-2.9191774338942307,46.0,3.0,52.0,104.0
4140,0.2599033816425121,-0.16350222234134218,-2.105902910232544,0.5954949855804443,0.0007246376811594203,1.0,0.25936669083877206,pinn_k2_lam05,favar_v33_pinn_k2_lam05_best.pt,-2.133042518028846,21.0,2.0,52.0,104.0
4140,0.6864734299516908,0.8685416585980266,-0.23606808483600616,-0.9177557826042175,0.5024154589371981,0.3783653846153846,0.9975728155339806,coupling_K2,favar_v33_coupling_K2_best.pt,-2.671516075721154,54.0,2.0,52.0,104.0
4140,0.42995169082125606,0.031495623728507505,-0.5867853760719299,0.26982876658439636,0.20579710144927535,0.863849765258216,0.3175182481751825,coupling_K3,favar_v33_coupling_K3_best.pt,-2.7124998497596158,48.0,3.0,52.0,104.0
4140,0.5801932367149758,0.08704242493172946,-0.8814848065376282,-5.18788480758667,0.20193236714975846,0.6555023923444976,0.5611380145278451,coupling_K4,favar_v33_coupling_K4_best.pt,-2.9887271634615384,46.0,4.0,52.0,104.0
4140,0.3507246376811594,-0.12804852080414963,-0.8548022508621216,2.911365509033203,0.35845410628019325,0.9622641509433962,0.009036144578313253,coupling_sanity,favar_v33_coupling_sanity_best.pt,-1.2530475510817307,3.0,2.0,52.0,104.0
4140,0.4939613526570048,0.09567196751488942,33302.49609375,1844.750244140625,0.6664251207729469,0.49691917361362814,0.4880521361332368,causal_K4,favar_v33_causal_K4_best.pt,-3.0509845252403847,73.0,4.0,52.0,104.0
