epoch,train,val,test
1,32.49329665835415,-1.8139879703521729,-1.2058231830596924
2,-0.4793378629145168,-0.5019164681434631,-0.8566126227378845
3,-0.9602278286502475,-2.393533706665039,-1.6478768587112427
4,-1.9675620680763608,-2.377020835876465,-2.041964292526245
5,-1.8683998102233523,-2.6878561973571777,-1.9959959983825684
6,-2.2641790367308117,-2.423002004623413,-2.027466297149658
7,5.59893539689836,1.3032619953155518,-1.8358585834503174
8,0.26335729019982473,6.154727935791016,8.648031234741211
9,-1.4772243386223203,-2.3338124752044678,-2.214846611022949
10,-1.8368366899944486,-2.1741082668304443,-1.6912834644317627
11,-1.3490168509029208,-2.2787158489227295,-1.3708795309066772
12,5.154912241867611,-2.130854368209839,-2.0692996978759766
13,-1.2876284973961967,-2.0275142192840576,-1.2761690616607666
14,-1.976122532572065,-2.478972911834717,-1.3606765270233154
15,-2.2430001951399303,-2.531240463256836,-0.7021085619926453
16,-1.4575067659219105,-2.1108663082122803,-2.1133275032043457
17,-2.2601652372451055,-2.522385597229004,-2.11702823638916
18,-2.143017984571911,-2.3148741722106934,-2.1181116104125977
19,-2.193613262403579,-2.3876821994781494,-1.9598798751831055
20,-2.373568648383731,-2.6248481273651123,-1.9818089008331299
