epoch,train,val,test
1,29.57482884043739,0.8777561187744141,0.42034128308296204
2,-0.1436956456551949,-1.1209558248519897,-0.5993112921714783
3,-1.163952689795267,-2.026975393295288,-1.5497617721557617
4,-1.459706119128636,-1.7194982767105103,-0.7425609827041626
5,0.6261401865631342,-0.5427477359771729,-0.763032853603363
6,0.12192692900342601,-0.5504557490348816,-1.2855759859085083
7,-1.028058253583454,-1.7005537748336792,-1.4957603216171265
8,-1.832325543676104,-1.7158725261688232,-1.8793361186981201
9,-1.9310748066220964,-2.599093437194824,0.15020547807216644
10,0.39867150499707177,-1.361365795135498,-1.3315664529800415
11,1.4674413488024758,-2.2143657207489014,-0.6219196319580078
12,-1.8747772929214297,0.966228723526001,0.17948199808597565
13,-1.8691707338605608,-2.4210031032562256,-2.122500419616699
14,-1.960853758312407,-1.1292635202407837,-1.9767556190490723
15,-1.9032978841236659,-2.2140138149261475,1.6351255178451538
16,-1.8698179438000633,-2.137502908706665,-2.075052499771118
17,-2.2959447588239397,-2.247509241104126,-2.155897617340088
18,-2.234275664602007,-2.2785961627960205,-2.1374924182891846
19,-2.1353358314150857,-2.503422260284424,-2.0841355323791504
20,-1.8388584696111225,-2.7018563747406006,-2.153883695602417
21,-2.442125910804385,-2.6890437602996826,-2.036599636077881
22,-2.49074733824957,-2.608818292617798,-2.0559980869293213
23,-2.433771701086135,-2.6684987545013428,-1.8791277408599854
24,-2.413028898693266,-2.154834032058716,-1.7419739961624146
25,-2.3314218748183477,-2.6787381172180176,-1.7984369993209839
26,-2.5880996953873407,-2.468888759613037,-1.8183714151382446
27,-2.5279594035375688,-1.9588701725006104,-1.4071629047393799
28,-2.6250917343866256,-2.327165126800537,-1.5359222888946533
29,-2.6369726203736805,-2.3264243602752686,-1.4483355283737183
30,-1.117249903579553,-2.2036032676696777,-1.856410026550293
31,-2.4752042350314913,-2.4705758094787598,-1.9519075155258179
32,-2.683316809790475,-2.3701586723327637,-1.2171202898025513
33,-2.685642957687378,-2.265836238861084,-1.2783551216125488
34,-2.6811751978737965,-2.3528599739074707,-1.06864333152771
35,-2.81940373920259,-2.030108690261841,0.24255511164665222
