epoch,train,val,test
1,195.1032285775457,-0.4420873522758484,-0.7010275721549988
2,-0.7170597513516744,-1.9016075134277344,-1.0076018571853638
3,-1.4776915652411324,-1.4708187580108643,-1.8023512363433838
4,-1.8335208069710505,-2.0312278270721436,-1.7305797338485718
5,-2.005890590803964,-2.237837314605713,-2.1176280975341797
6,-1.9677941685631162,-2.3692522048950195,-2.099104881286621
7,-1.598747818952515,-1.6757426261901855,-1.7484984397888184
8,-2.1100590229034424,-2.6465351581573486,-1.9065515995025635
9,-1.4016537070274353,12.614792823791504,4.8687286376953125
10,0.4166798655475889,-0.3881930708885193,-0.3217258155345917
11,-1.504245931193942,0.5955982804298401,-1.6498745679855347
12,-2.171267827351888,-2.358566999435425,-2.130730152130127
13,-2.158772213118417,-2.3189914226531982,-2.136967420578003
14,-2.335558459872291,-2.6942243576049805,-2.0708837509155273
15,-2.3954614798227944,-2.707157611846924,-2.1528117656707764
16,-2.4490018572126115,-2.753284454345703,-2.2386395931243896
17,-2.4229756536937894,-2.0269010066986084,-2.125993251800537
18,-2.375522329693749,-2.608245611190796,-2.1928553581237793
19,-2.497789837065197,-2.746626853942871,-2.148219347000122
20,-2.5743478479839506,-2.713301420211792,-2.044170618057251
21,-2.60625528153919,-2.6571269035339355,-1.3526510000228882
22,-2.6183193297613236,-2.708603620529175,-1.9335147142410278
23,-2.4909520262763616,-2.6001346111297607,-1.6698263883590698
24,-2.5569780327024914,-2.7259528636932373,-1.5347070693969727
25,-2.602240880330404,-2.598691463470459,-1.8357253074645996
26,-2.7005590484255837,-2.651843547821045,0.09362021088600159
27,-2.695210649853661,-2.6755120754241943,-0.83771151304245
28,-2.74046262105306,-2.6832034587860107,-0.7068400979042053
29,-2.8211071491241455,-2.7163565158843994,1.162144660949707
30,-2.864472536813645,-2.6166746616363525,0.083551786839962
31,-2.8044446990603493,-2.4420342445373535,0.14115798473358154
